ID,Address,Price_€,Rooms,Bathrooms,Size_m2,Price_m2,Property_type,City,Neightbourhood,Links,Description,Date_Scraped,District,nom_barri
id4975004333307,Piso  en  Dreta de l´Eixample. Se venta piso a reformar de 5 - habitaciones con vistas a el arc,995000,5,1,195,5103,FLAT,Barcelona,Dreta de l´Eixample,https://www.habitaclia.com/comprar-piso-se_venta_a_reformar_de_5_habitaciones_con_vistas_a_el_arc_dreta_de_l_eixample-barcelona-i4975004333307.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,Convierte este amplio piso a reformar en el hogar de tus sueños. Situado en la planta superior de una finca regia con as...,2023-06-23,Eixample,la Dreta de l'Eixample
id38865000000363,Piso  Balmes. Piso en venta en sant gervasi-galvany,829000,4,2,176,4710,FLAT,Barcelona,Putget,https://www.habitaclia.com/comprar-piso-en_venta_en_sant_gervasi_galvany_putget_farro-barcelona-i38865000000363.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Situado a pocos metros de Plaça Molina, en una de las zonas más comerciales de la zona, cerca de Vía Augusta. Dispone de...",2023-06-23,Sarrià-Sant Gervasi,el Putxet i el Farró
id4737003817234,Piso  C. del dos de maig. Piso reformado en venta en camp de l’arpa,560554,3,2,135,4152,FLAT,Barcelona,Sagrada Família,https://www.habitaclia.com/comprar-piso-reformado_en_venta_en_camp_de_larpa_sagrada_familia-barcelona-i4737003817234.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Situado en el barrio del Camp de l’Arpa, a pocas calles de la Sagrada Familia y del Hospital Sant Pau Se encuentra a pro...",2023-06-23,Eixample,la Sagrada Família
id4975004330841,Piso  en  Sant Antoni. Piso en excelentes condiciones de 3 dormitorios con terraza de 1,585000,3,2,117,5000,FLAT,Barcelona,Sant Antoni,https://www.habitaclia.com/comprar-piso-en_excelentes_condiciones_de_3_dormitorios_con_terraza_de_1_sant_antoni-barcelona-i4975004330841.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Este piso recién renovado de 116 m² se sitúa en la planta principal de una finca bien conservada en la calle Sepúlveda,...",2023-06-23,Eixample,Sant Antoni
id4455003750149,"Piso  General mitre. Piso con 5 habitaciones con parking, calefacción y aire acondici",1490000,5,3,263,5665,FLAT,Barcelona,Sant Gervasi,https://www.habitaclia.com/comprar-piso-con_5_habitaciones_con_parking_calefaccion_y_aire_acondici_sant_gervasi_bonanova-barcelona-i4455003750149.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,Junto a la calle Mandri tenemos el placer de presentarles en exclusiva esta magnífica pieza en venta.  Se trata de un...,2023-06-23,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
id4552003907422,Piso  Ricardo villa. Precioso piso en venta alto luminoso con pk y trastero,790000,2,2,100,7900,FLAT,Barcelona,Tres Torres,https://www.habitaclia.com/comprar-piso-precioso_en_venta_alto_luminoso_con_pk_y_trastero_tres_torres-barcelona-i4552003907422.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,En la zona de las tres Torres cerca de la zona del Turo Park presentamos este maravilloso piso en venta de 100 m2 mas un...,2023-06-23,Sarrià-Sant Gervasi,les Tres Torres
id4840004296932,Ático  en  Sant Gervasi - Galvany. Increíble y amplio ático dúplex con 4 terrazas enfrente de turó,2990000,6,5,376,7952,PENTHOUSE,Barcelona,Sant Gervasi,https://www.habitaclia.com/comprar-atico-increible_y_amplio_duplex_con_4_terrazas_enfrente_de_turo_sant_gervasi_galvany-barcelona-i4840004296932.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,Increíble y amplio ático dúplex con 4 terrazas enfrente de Turó Park.  Este espectacular ático se encuentra en una de...,2023-06-23,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
id4975004330614,"Piso  en  Sant Gervasi - Galvany. Piso de 3 dormitorios con 6m² terraza en venta en turó park, bar",780000,3,3,113,6903,FLAT,Barcelona,Sant Gervasi,https://www.habitaclia.com/comprar-piso-de_3_dormitorios_con_6m2_terraza_en_venta_en_turo_park_bar_sant_gervasi_galvany-barcelona-i4975004330614.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,Piso totalmente a reformar de 111 m² construidos más una pequeña terraza de 6 m². La vivienda se sitúa en la zona alta d...,2023-06-23,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
id8166003792406,Piso  en  Dreta de l´Eixample. Piso reformado con balcones en la dreta de l'eixample,470000,2,2,80,5875,FLAT,Barcelona,Dreta de l´Eixample,https://www.habitaclia.com/comprar-piso-reformado_con_balcones_en_la_dreta_de_l_eixample_dreta_de_l_eixample-barcelona-i8166003792406.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Acogedor, alto y muy luminoso, con balcones a dos vientos y bonitas vistas al Eixample. Alquilado hasta Diciembre 2024,...",2023-06-23,Eixample,la Dreta de l'Eixample
id4975004331433,"Piso  en  Sant Gervasi - Bonanova. Espectacular piso a reformar de 151m2 con terraza, en venta en s",699000,5,3,150,4660,FLAT,Barcelona,Sant Gervasi,https://www.habitaclia.com/comprar-piso-espectacular_a_reformar_de_151m2_con_terraza_en_venta_en_s_sant_gervasi_bonanova-barcelona-i4975004331433.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,Espectacular piso a reformar de 152 m² con terraza en venta en una calle semipeatonal en pleno centro de Sant Gervasi....,2023-06-23,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
id4840004296918,Piso  Carrer de girona. Imponente piso de lujo reformado con terraza en finca regia.,1595000,4,3,199,8015,FLAT,Barcelona,Dreta de l´Eixample,https://www.habitaclia.com/comprar-piso-imponente_de_lujo_reformado_con_terraza_en_finca_regia_dreta_de_l_eixample-barcelona-i4840004296918.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,Imponente piso de lujo reformado con terraza en finca regia.  Este magnífico piso de lujo reformado con la más alta ca...,2023-06-23,Eixample,la Dreta de l'Eixample
id29169000001903,Piso  Carrer d'avinyó,695000,3,2,101,6881,FLAT,Barcelona,Gòtic,https://www.habitaclia.com/comprar-piso-gotic-barcelona-i29169000001903.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,"En el emblemático barrio del Gotic , el barrio con más personalidad de la ciudad Condal delimitado por Las Ramblas, Vía...",2023-06-23,Ciutat Vella,el Barri Gòtic
id3741004269141,Planta baja  en  Vila de Gràcia. Piso calle domenech/francisco giner,295000,1,1,60,4917,GROUND_FLOOR,Barcelona,Vila de Gràcia,https://www.habitaclia.com/comprar-planta_baja-piso_calle_domenechfrancisco_giner_vila_de_gracia-barcelona-i3741004269141.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Bonita planta baja de 60m2. Ubicada en el barrio de Gracia, junto a los Jardinets de Gracia, en la calle Domenech. Techo...",2023-06-23,Gràcia,la Vila de Gràcia
id4975004333621,Piso  en  Dreta de l´Eixample. Piso en excelentes condiciones de 3 dormitorios en venta en eixa,990000,3,2,133,7444,FLAT,Barcelona,Dreta de l´Eixample,https://www.habitaclia.com/comprar-piso-en_excelentes_condiciones_de_3_dormitorios_en_venta_en_eixa_dreta_de_l_eixample-barcelona-i4975004333621.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Este vivienda de 132 m² se encuentra en la sexta planta de un edificio de estilo clásico del año 1955 con fachada, zonas...",2023-06-23,Eixample,la Dreta de l'Eixample
id4975004333396,Piso  en  Sagrada Família. Piso de obra nueva de 3 dormitorios con 8m² terraza en venta en,690000,3,2,100,6900,FLAT,Barcelona,Sagrada Família,https://www.habitaclia.com/comprar-piso-de_obra_nueva_de_3_dormitorios_con_8m2_terraza_en_venta_en_sagrada_familia-barcelona-i4975004333396.htm?pag=1&hab=1&ban=1&f=&geo=p&from=list&lo=55,Sardenya 350-352 comprende tres antiguas naves industriales que han sido completamente renovadas para albergar 66 maravi...,2023-06-23,Eixample,la Sagrada Família
id4975004333397,"Piso  en  Sagrada Família. En venta piso de obra nueva en l’eixample derecho, con tres dorm",741000,3,2,110,6736,FLAT,Barcelona,Sagrada Família,https://www.habitaclia.com/comprar-piso-en_venta_de_obra_nueva_en_leixample_derecho_con_tres_dorm_sagrada_familia-barcelona-i4975004333397.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,Sardenya 344-348 es un proyecto de rehabilitación integral para uso residencial con viviendas de dos y tres dormitorios...,2023-06-23,Eixample,la Sagrada Família
id4975004333031,"Piso  en  Dreta de l´Eixample. Piso de 5 dormitorios en venta en eixample derecho, barcelona",690000,5,2,133,5188,FLAT,Barcelona,Dreta de l´Eixample,https://www.habitaclia.com/comprar-piso-de_5_dormitorios_en_venta_en_eixample_derecho_dreta_de_l_eixample-barcelona-i4975004333031.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,Este vivienda para reformar de 132 m² se encuentra en la tercera planta de un edificio de estilo clásico del año 1955 co...,2023-06-23,Eixample,la Dreta de l'Eixample
id3741004269151,Piso  en  Sant Gervasi - Galvany. Piso en turo park,1790000,6,4,263,6806,FLAT,Barcelona,Sant Gervasi,https://www.habitaclia.com/comprar-piso-en_turo_park_sant_gervasi_galvany-barcelona-i3741004269151.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Bonito piso en la prestigiosa zona de Turo Park, junto a la Plaza San Gregorio Taumaturgo.  Con una superficie de 260  m...",2023-06-23,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
id41022004397640,"Piso  en  Carrer carme, 23. Obra nueva",460000,2,2,114,4035,FLAT,Barcelona,Raval,https://www.habitaclia.com/comprar-piso-obra_nueva_calle_carme_23_raval-barcelona-i41022004397640.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,"En el distrito de Ciutat Vella, en pleno barrio del Raval, les ofrecemos una promoción de 10 viviendas en un edificio de...",2023-06-23,Ciutat Vella,el Raval
id4737003816937,Piso  C. de villarroel. Piso en venta reformado en l'eixample esquerra,595000,3,2,105,5667,FLAT,Barcelona,L´Antiga Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-en_venta_reformado_en_l_eixample_esquerra_l_antiga_esquerra_de_l_eixample-barcelona-i4737003816937.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,"En el corazón del Eixample Izquierdo de Barcelona, frente al “Mercat del Ninot”, encontramos esta fantástica vivienda, t...",2023-06-23,Eixample,l'Antiga Esquerra de l'Eixample
id4975004333605,"Ático  en  Sarrià. En venta maravilloso ático triplex en el corazón de sarrià, barc",850000,3,3,140,6071,PENTHOUSE,Barcelona,Sarrià,https://www.habitaclia.com/comprar-atico-en_venta_maravilloso_triplex_en_el_corazon_de_sarria_barc_sarria-barcelona-i4975004333605.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,"El ático se encuentra en uno de los barrios residenciales más nobles de la ciudad de Barcelona. En concreto, se sitúa en...",2023-06-23,Sarrià-Sant Gervasi,Sarrià
id4975004333329,"Piso  en  Dreta de l´Eixample. Piso de 3 dormitorios en venta en el eixample derecho, barcelona",736000,3,3,131,5618,FLAT,Barcelona,Dreta de l´Eixample,https://www.habitaclia.com/comprar-piso-de_3_dormitorios_en_venta_en_el_eixample_derecho_dreta_de_l_eixample-barcelona-i4975004333329.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Este piso se sitúa en una de las zonas más codiciadas del centro de Barcelona, el paseo Sant Joan, rodeada de restaurant...",2023-06-23,Eixample,la Dreta de l'Eixample
id4975004333504,Piso  en  St. Pere - Sta. Caterina - El Born. Piso en excelentes condiciones de 3 dormitorios en venta en el b,665000,3,2,110,6045,FLAT,Barcelona,St. Pere,https://www.habitaclia.com/comprar-piso-en_excelentes_condiciones_de_3_dormitorios_en_venta_en_el_b_st_pere_sta_caterina_el_born-barcelona-i4975004333504.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,Amplia vivienda histórica ubicada en un edificio de esquina de una calle tranquila. A pocas calles del Mercado de Santa...,2023-06-23,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
id4975004333032,"Piso  en  Sant Gervasi - Galvany. En venta piso de tres dormitorios en sant gervasi-galvany, barce",895000,3,2,170,5265,FLAT,Barcelona,Sant Gervasi,https://www.habitaclia.com/comprar-piso-en_venta_de_tres_dormitorios_en_sant_gervasi_galvany_barce_sant_gervasi_galvany-barcelona-i4975004333032.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,Piso de 170 m2 con tres dormitorios y dos baños ubicado en la sexta planta real de un edificio de 1945 con dos ascensore...,2023-06-23,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
id38865000000392,Planta baja  Padua. Planta baja en venta en el putxet i el farró,690000,3,2,98,7041,GROUND_FLOOR,Barcelona,Putget,https://www.habitaclia.com/comprar-planta_baja-en_venta_en_el_putxet_i_el_farro_putget_farro-barcelona-i38865000000392.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,"La finca se encuentra en el barrio d’El Putxet, en Sant Gervasi, uno de los distritos residenciales con mayor encanto de...",2023-06-23,Sarrià-Sant Gervasi,el Putxet i el Farró
id4975004333409,Piso  en  L´Antiga Esquerra de l´Eixample. Piso en excelentes condiciones de 3 dormitorios con 40m² terraza,950000,3,2,143,6643,FLAT,Barcelona,L´Antiga Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-en_excelentes_condiciones_de_3_dormitorios_con_40m2_terraza_l_antiga_esquerra_de_l_eixample-barcelona-i4975004333409.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,Este gran piso rectangular es una joya oculta en una finca regia en una calle tranquila a pocas manzanas de la plaza Uni...,2023-06-23,Eixample,l'Antiga Esquerra de l'Eixample
id4975004333546,Piso  en  Sant Gervasi - Bonanova. En venta amplia y luminosa vivienda con terraza de 19 m² en sant,1250000,4,2,252,4960,FLAT,Barcelona,Sant Gervasi,https://www.habitaclia.com/comprar-piso-en_venta_amplia_y_luminosa_vivienda_con_terraza_de_19_m2_en_sant_sant_gervasi_bonanova-barcelona-i4975004333546.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Lucas Fox presenta esta luminosa y amplia propiedad.   La vivienda se localiza en los pisos más altos de la finca, por...",2023-06-23,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
id41022004397648,"Piso  en  Carrer massanet, 6. Obra nueva",380000,2,2,82,4634,FLAT,Barcelona,St. Pere,https://www.habitaclia.com/comprar-piso-obra_nueva_calle_massanet_6_st_pere_sta_caterina_el_born-barcelona-i41022004397648.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,"En el emblemático barrio del Born, junto al mercado de Santa Caterina y próximo a la Catedral de Barcelona,  les ofrecem...",2023-06-23,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
id4975004333114,Ático  en  Sagrada Família. Ático de 4 dormitorios con 31m² terraza en venta en eixample der,485000,4,2,87,5575,PENTHOUSE,Barcelona,Sagrada Família,https://www.habitaclia.com/comprar-atico-de_4_dormitorios_con_31m2_terraza_en_venta_en_eixample_der_sagrada_familia-barcelona-i4975004333114.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Situado en la calle Provenca, en pleno Eixample Derecho de Barcelona Ciudad, encontramos este edificio con varias vivien...",2023-06-23,Eixample,la Sagrada Família
id4975004331592,Piso  en  Sant Gervasi - Galvany. Fantástico piso en la cuarta planta de una finca de 1961 situada,1195000,5,3,218,5482,FLAT,Barcelona,Sant Gervasi,https://www.habitaclia.com/comprar-piso-fantastico_en_la_cuarta_planta_de_una_finca_de_1961_situada_sant_gervasi_galvany-barcelona-i4975004331592.htm?pag=2&hab=1&ban=1&f=&geo=p&from=list&lo=55,"El piso ofrece una excelente orientación, con sol y luz natural. Se puede acceder por dos entradas, la principal y la de...",2023-06-23,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
id4975004333345,Piso  en  Putget - Farró. Piso bajo tipo loft con un patio de 110 m² en venta en sant gerv,598250,2,1,71,8426,FLAT,Barcelona,Putget,https://www.habitaclia.com/comprar-piso-bajo_tipo_loft_con_un_patio_de_110_m2_en_venta_en_sant_gerv_putget_farro-barcelona-i4975004333345.htm?pag=3&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Esta vivienda en venta forma parte de una promoción de obra nueva en una ubicación inmejorable en Sant Gervasi-Galvany,...",2023-06-23,Sarrià-Sant Gervasi,el Putxet i el Farró
id12644004343920,Casa adosada  en  Carrer de portolà 2. Gran casa adosada esquinera 5 hab.,1150000,5,4,330,3485,SINGLE_FAMILY_SEMI_DETACHED,Barcelona,Putget,https://www.habitaclia.com/comprar-casa_adosada-gran_esquinera_5_hab_calle_de_portola_2_putget_farro-barcelona-i12644004343920.htm?pag=3&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Gran casa de obra vista esquinera, 330 m2, muy bien distribuida, con 5 amplias habitaciones exteriores, una de ellas en...",2023-06-23,Sarrià-Sant Gervasi,el Putxet i el Farró
